Question,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (Seconds),Correct Answer
"Trong mô hình 3 cấp độ hạnh phúc, cấp độ nào được đánh giá là có khả năng duy trì bền lâu nhất theo thời gian?",Thú vui (Pleasure),Đam mê (Passion),Mục đích cao cả (Higher Purpose),Sự tự chủ (Autonomy),30,3
"Theo lý thuyết được trình bày, sự khác biệt chính giữa 'thú vui sở hữu' và 'thú vui trải nghiệm' là gì?",Thú vui sở hữu tốn nhiều chi phí hơn thú vui trải nghiệm.,Thú vui trải nghiệm có khả năng duy trì cảm giác hạnh phúc lâu hơn sở hữu.,Chỉ có thú vui trải nghiệm mới được coi là một cấp độ hạnh phúc thực sự.,Thú vui sở hữu là nền tảng bắt buộc để đạt được thú vui trải nghiệm.,30,2
"Ba đòn bẩy hạnh phúc (Progress, Control, Connectedness) được phát triển dựa trên lý thuyết tâm lý học nào?",Lý thuyết tháp nhu cầu của Maslow,Lý thuyết tự quyết (Self-Determination Theory),Lý thuyết tâm lý học tích cực của Martin Seligman,Lý thuyết dòng chảy (Flow Theory),30,2
Đòn bẩy 'Cảm giác tiến bộ' (Sense of Progress) nhấn mạnh vào yếu tố nào sau đây để duy trì hạnh phúc?,Phải đạt được những thành tựu vĩ đại và có sức ảnh hưởng lớn ngay lập tức.,Ghi nhận và trân trọng những chiến thắng nhỏ (small wins) hàng ngày.,Chỉ dựa vào sự vinh danh và khen thưởng từ cấp trên hoặc người ngoài.,Loại bỏ hoàn toàn các sai lầm và thất bại trong quá trình làm việc.,30,2
Trạng thái 'Tỉnh thức' (Mindfulness) trong 5 thói quen hạnh phúc được định nghĩa như thế nào?,Là việc loại bỏ hoàn toàn mọi suy nghĩ tiêu cực ra khỏi tâm trí.,Tập trung chú ý vào khoảnh khắc hiện tại một cách có ý thức và không phán xét.,Dành ít nhất 2 giờ mỗi ngày để ngồi thiền trong không gian yên tĩnh.,Suy ngẫm về những bài học trong quá khứ để không lặp lại sai lầm.,30,2
"Theo Mihaly Csikszentmihalyi, điều kiện then chốt để trạng thái 'Phiêu' (Flow) diễn ra là gì?",Nhiệm vụ phải cực kỳ dễ dàng để không gây ra sự căng thẳng.,Sự cân bằng giữa thách thức của nhiệm vụ và kỹ năng của người thực hiện.,Phải có sự hỗ trợ liên tục từ đồng nghiệp trong quá trình làm việc.,Mục tiêu cuối cùng phải là phần thưởng tài chính hấp dẫn.,30,2
"Trong 'Thỏa thuận văn hóa' (Culture Pact), yếu tố nào được coi là quan trọng nhất để tạo ra môi trường chia sẻ an toàn?",Việc thiết lập các hình thức chế tài nghiêm khắc cho người vi phạm.,Sự hiện diện của các quy định và quy trình làm việc phức tạp.,Lắng nghe mà không phán xét và cam kết thực hiện các hành vi đã thỏa thuận.,Đảm bảo mọi người đều có cùng một quan điểm và ý kiến giống nhau.,30,3
Thói quen 'Biết ơn' (Gratitude) được thực hành thông qua hành động cụ thể nào theo gợi ý của chuyên gia Robert Emmons?,Viết thư cảm ơn cho tất cả những người mình đã từng gặp trong đời.,Chỉ biết ơn khi nhận được những món quà hoặc lợi ích lớn lao.,Nhìn thấy những điều mọi người làm đúng và trân trọng những điều tích cực hiện có.,Khoe khoang về những thành công của mình để người khác ngưỡng mộ.,30,3
Tại sao việc 'Tự chủ' (Sense of Control) lại được coi là một đòn bẩy quan trọng cho hạnh phúc tại nơi làm việc?,Vì nó cho phép nhân viên làm bất cứ điều gì họ muốn mà không cần báo cáo.,Vì con người cảm thấy hạnh phúc hơn khi có quyền lựa chọn và kiểm soát cách họ thực hiện công việc.,Vì nó giúp giảm bớt trách nhiệm của quản lý đối với nhân viên.,Vì sự tự chủ giúp loại bỏ hoàn toàn mọi sự căng thẳng (stress).,30,2
Aristotle (200BC) đã đưa ra quan điểm cốt lõi nào về hạnh phúc mà DH vẫn kế thừa?,Hạnh phúc là sự ban ơn từ các vị thần.,Hạnh phúc phụ thuộc hoàn toàn vào các yếu tố ngoại cảnh và sự may mắn.,Hạnh phúc phụ thuộc vào chính chúng ta và là mục đích tồn tại của con người.,Hạnh phúc chỉ có thể đạt được thông qua việc từ bỏ mọi ham muốn vật chất.,30,3
